Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	AAL	ACR_ID	ACR_Term	Acronym	Anatomical_Site	Anterior_to	Attaches_to	Blood_Supply_of	Bounded_by	Bounds	Branch_Of	Branch_Part_of	Changes made to class	CMA_Label	Comment	Constitutional_Part_Of	Contained_In	Contains	Continuous_With	Created mm/dd/yyyy	Definition	Distal_to	Drains_Into	External_to	FMAID	Freesurfer	Has_Blood_Supply	Has_Branch	Has_Branch_Part	Has_Constitutional_Part	Has_Entrapment_Site	Has_Innervation_Source	Has_insertion	Has_Member	Has_origin	Has_Part	Has_Regional_Part	Has_Subtype	http://data.bioontology.org/metadata/prefixIRI	id	Image_URL	Inferior_to	Innervates	Insertion_of	Is_A	JHU_DTI-81	JHU_White-Matter_Tractography_Atlas	language	Left_Lateral_to	Lymphatic_Drainage	Lymphatic_Drainage_Of	May_Be_Caused_By	May_Cause	Member_Of	Misspelling of term	name	Name	Neurolex_ID	Neurolex_Term	Non-English_name	Origin_of	Part_Of	Posterior_to	Preferred_name	Preferred_Name_for_Obsolete	Preferred_name_German	Projects_From	Projects_To	Proximal_to	Radlex version of class change	Receives_attachment_from	Receives_Drainage_From	Receives_Input_From	Receives_Projection_From	Regional_Part_Of	Related_modality	Replaced_by	Right_Lateral_to	Segment_Of	Sends_Output_To	SNOMED_ID	SNOMED_Term	Source	Superior_to	Surrounded_by	Surrounds	Synonym	Synonym_German	Talairach	Term type	Term_Status	Tributary_Of	UMLS_ID	UMLS_Term	Unsanctioned Term
http://www.radlex.org/RID/#RID43314	multiple lesions 2-5	2-5 lesions		FALSE			http://www.radlex.org/RID/#RID43313																																							RID43314						http://www.radlex.org/RID/#RID43313																			multiple lesions 2-5		mehrere Läsionen 2-5																	LID				2-5 lesions								
http://www.radlex.org/RID/#RID10450	neutral position	neutral		FALSE			http://www.radlex.org/RID/#RID10420																																							RID10450						http://www.radlex.org/RID/#RID10420																			neutral position		Neutralstellung																					neutral								
http://www.radlex.org/RID/#RID7074	Brodmann area 13	bA13|area 13 of Brodmann		FALSE			http://www.radlex.org/RID/#RID13125																									68610					http://www.radlex.org/RID/#RID37014|http://www.radlex.org/RID/#RID37029|http://www.radlex.org/RID/#RID37026|http://www.radlex.org/RID/#RID37023|http://www.radlex.org/RID/#RID37020|http://www.radlex.org/RID/#RID37017						http://www.radlex.org/RID/#RID26021|http://www.radlex.org/RID/#RID26018|http://www.radlex.org/RID/#RID26012|http://www.radlex.org/RID/#RID26015|http://www.radlex.org/RID/#RID37014|http://www.radlex.org/RID/#RID37029|http://www.radlex.org/RID/#RID37026|http://www.radlex.org/RID/#RID13675|http://www.radlex.org/RID/#RID37023|http://www.radlex.org/RID/#RID37020|http://www.radlex.org/RID/#RID37017	http://www.radlex.org/RID/#RID26021|http://www.radlex.org/RID/#RID26018|http://www.radlex.org/RID/#RID26012|http://www.radlex.org/RID/#RID26015|http://www.radlex.org/RID/#RID13675	http://www.radlex.org/RID/#RID25833|http://www.radlex.org/RID/#RID25832	RID7074						http://www.radlex.org/RID/#RID13125																	http://www.radlex.org/RID/#RID6435|http://www.radlex.org/RID/#RID13156		Brodmann area 13		Brodmann-Areal 13									http://www.radlex.org/RID/#RID13156												bA13|area 13 of Brodmann								
http://www.radlex.org/RID/#RID22456	trunk of cutaneous branch of medial plantar nerve			FALSE			http://www.radlex.org/RID/#RID22442																									78881													http://www.radlex.org/RID/#RID22458|http://www.radlex.org/RID/#RID22457	RID22456						http://www.radlex.org/RID/#RID22442																			trunk of cutaneous branch of medial plantar nerve		Truncus des Ramus cutaneus des Nervus plantaris medialis																													
http://www.radlex.org/RID/#RID7019	Brodmann area 22	bA22|superior temporal area|area 22 of Brodmann		FALSE			http://www.radlex.org/RID/#RID13125																									68619					http://www.radlex.org/RID/#RID37188|http://www.radlex.org/RID/#RID37185|http://www.radlex.org/RID/#RID37197|http://www.radlex.org/RID/#RID37194|http://www.radlex.org/RID/#RID37200|http://www.radlex.org/RID/#RID37191						http://www.radlex.org/RID/#RID37188|http://www.radlex.org/RID/#RID26073|http://www.radlex.org/RID/#RID37185|http://www.radlex.org/RID/#RID26070|http://www.radlex.org/RID/#RID37197|http://www.radlex.org/RID/#RID37194|http://www.radlex.org/RID/#RID26076|http://www.radlex.org/RID/#RID37200|http://www.radlex.org/RID/#RID37191	http://www.radlex.org/RID/#RID26073|http://www.radlex.org/RID/#RID26070|http://www.radlex.org/RID/#RID26076	http://www.radlex.org/RID/#RID25851|http://www.radlex.org/RID/#RID25850	RID7019						http://www.radlex.org/RID/#RID13125															area temporalis superior		http://www.radlex.org/RID/#RID6435|http://www.radlex.org/RID/#RID13156		Brodmann area 22		area temporalis superior								http://www.radlex.org/RID/#RID19632	http://www.radlex.org/RID/#RID13156												bA22|superior temporal area|area 22 of Brodmann								
http://www.radlex.org/RID/#RID13177	Latin			FALSE			http://www.radlex.org/RID/#RID13175																																							RID13177						http://www.radlex.org/RID/#RID13175																			Latin		Latein																													
http://www.radlex.org/RID/#RID46515	segment of medial pectoral nerve nucleus of ventral column			FALSE			http://www.radlex.org/RID/#RID46507																									291696													http://www.radlex.org/RID/#RID46519|http://www.radlex.org/RID/#RID46516	RID46515						http://www.radlex.org/RID/#RID46507																			segment of medial pectoral nerve nucleus of ventral column		Segment des Nucleus des Nervus pectoralis medialis der Vordersäule																													
http://www.radlex.org/RID/#RID19242	nerve to left gluteus maximus (2)			FALSE			http://www.radlex.org/RID/#RID19240											http://www.radlex.org/RID/#RID25681	http://www.radlex.org/RID/#RID25681							http://www.radlex.org/RID/#RID25681						81146														RID19242						http://www.radlex.org/RID/#RID19240																	http://www.radlex.org/RID/#RID25681		nerve to left gluteus maximus (2)		Nerv zum linken Musculus gluteus maximus (2)									http://www.radlex.org/RID/#RID25681																				
http://www.radlex.org/RID/#RID30889	longitudinal muscle layer of segment of esophagus			FALSE			http://www.radlex.org/RID/#RID30888																									83567													http://www.radlex.org/RID/#RID30891|http://www.radlex.org/RID/#RID30890|http://www.radlex.org/RID/#RID30892	RID30889						http://www.radlex.org/RID/#RID30888																			longitudinal muscle layer of segment of esophagus		Längsmuskelschicht eines Segments des Ösophagus																													
http://www.radlex.org/RID/#RID4265	carcinoma in situ		"A lesion with cytological characteristics associated with invasive carcinoma but the tumor cells are confined to the epithelium of origin, without invasion of the basement membrane. [MeSH]"	FALSE			http://www.radlex.org/RID/#RID4247																					"A lesion with cytological characteristics associated with invasive carcinoma but the tumor cells are confined to the epithelium of origin, without invasion of the basement membrane. [MeSH]"																		RID4265						http://www.radlex.org/RID/#RID4247																			carcinoma in situ		Carcinoma in situ																											C0007099	carcinoma in situ	
